epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.343,2.25693,2.56592,1.59573,0.54684,0.47353,0.45078,0.15878,2.22166,2.05649,1.69246,0.000665613,0.000665613,0.000665613
2,1112.68,2.26619,2.02593,1.64337,0.63602,0.51582,0.53306,0.19857,2.22306,1.82688,1.75603,0.00128831,0.00128831,0.00128831
3,1467.18,2.25098,1.8872,1.63891,0.57911,0.55299,0.52787,0.20068,2.13021,1.87692,1.67415,0.00186702,0.00186702,0.00186702
4,1813.57,2.19334,1.80404,1.60616,0.59994,0.6027,0.59267,0.23555,2.13075,1.56019,1.63954,0.001802,0.001802,0.001802
5,2164.83,2.14204,1.70762,1.57502,0.63161,0.64241,0.58339,0.23166,2.0762,1.49652,1.59915,0.001736,0.001736,0.001736
6,2515.14,2.10651,1.61276,1.54592,0.67658,0.61076,0.66229,0.26845,2.08823,1.46205,1.62667,0.00167,0.00167,0.00167
7,2873.59,2.07272,1.54508,1.54067,0.74682,0.65823,0.70188,0.28464,2.02517,1.39947,1.58019,0.001604,0.001604,0.001604
8,3226.94,2.02023,1.48048,1.49298,0.77526,0.69304,0.74385,0.30051,2.04704,1.28083,1.58069,0.001538,0.001538,0.001538
9,3580.63,2.00989,1.39472,1.48584,0.75732,0.69304,0.7564,0.31308,2.03466,1.27454,1.56729,0.001472,0.001472,0.001472
10,3933.55,1.99483,1.37276,1.47377,0.7695,0.73418,0.75802,0.32886,2.00458,1.25091,1.56501,0.001406,0.001406,0.001406
11,4289.91,1.95928,1.30037,1.44466,0.82107,0.73418,0.78744,0.33322,2.03099,1.19199,1.54758,0.00134,0.00134,0.00134
12,4648.38,1.93374,1.28511,1.42631,0.82991,0.71519,0.81468,0.34307,1.98774,1.16205,1.53931,0.001274,0.001274,0.001274
13,5002.51,1.91875,1.2568,1.42686,0.8016,0.74051,0.78537,0.31568,2.0303,1.22439,1.54824,0.001208,0.001208,0.001208
14,5356.26,1.89961,1.22899,1.40786,0.84927,0.71519,0.79982,0.34479,2.00523,1.14328,1.55708,0.001142,0.001142,0.001142
15,5702.91,1.86453,1.17344,1.39605,0.80974,0.75422,0.80564,0.33978,1.98793,1.1998,1.5539,0.001076,0.001076,0.001076
16,6051.12,1.86388,1.18308,1.39427,0.81955,0.76173,0.82657,0.33974,2.03425,1.072,1.55869,0.00101,0.00101,0.00101
17,6401.04,1.83724,1.14439,1.37808,0.84221,0.76008,0.82192,0.35616,2.00713,1.07048,1.54558,0.000944,0.000944,0.000944
18,6754.49,1.79841,1.09368,1.36296,0.83576,0.81013,0.84578,0.35637,1.97639,1.05354,1.54829,0.000878,0.000878,0.000878
19,7104.53,1.79316,1.07605,1.36026,0.85296,0.77101,0.83882,0.36297,1.99489,1.04104,1.54159,0.000812,0.000812,0.000812
20,7452.06,1.77269,1.05033,1.3431,0.89497,0.75501,0.8561,0.36658,1.99808,0.98651,1.54406,0.000746,0.000746,0.000746
21,7794.54,1.72481,0.88618,1.37689,0.81774,0.7951,0.85355,0.36369,1.98992,1.02012,1.5248,0.00068,0.00068,0.00068
22,8141.83,1.67573,0.83745,1.34962,0.85302,0.77137,0.85273,0.35956,1.99647,1.01398,1.52324,0.000614,0.000614,0.000614
23,8490.43,1.6711,0.81843,1.3458,0.8671,0.78456,0.85035,0.36523,1.98953,1.00239,1.55099,0.000548,0.000548,0.000548
24,8836.98,1.62269,0.80882,1.31822,0.85541,0.80063,0.86226,0.35496,2.0131,0.98666,1.56964,0.000482,0.000482,0.000482
25,9182.5,1.59,0.77095,1.30084,0.80949,0.82022,0.85272,0.37207,1.999,0.97942,1.54775,0.000416,0.000416,0.000416
26,9527.87,1.56691,0.75672,1.28565,0.83723,0.81646,0.86016,0.37276,2.01251,0.95379,1.55984,0.00035,0.00035,0.00035
27,9877.37,1.55327,0.73514,1.27275,0.83459,0.85759,0.85923,0.38382,1.99838,0.91095,1.56098,0.000284,0.000284,0.000284
28,10228.1,1.51605,0.71965,1.25631,0.87626,0.8038,0.8794,0.37033,2.01063,0.94383,1.56525,0.000218,0.000218,0.000218
29,10574,1.49146,0.70898,1.244,0.83242,0.81741,0.86514,0.3743,2.02326,0.91937,1.57705,0.000152,0.000152,0.000152
30,10934.6,1.46274,0.69126,1.22671,0.82202,0.83228,0.87246,0.38086,2.01519,0.90408,1.58326,8.6e-05,8.6e-05,8.6e-05
